Titik,Latitude,Longitude,Total_Pend_Motor_Tahun,Total_Pend_Mobil_Tahun,Klasifikasi_Motor,Tarif_Dasar_Motor,Klasifikasi_Mobil,Tarif_Dasar_Mobil
ANS,-7.43724,109.24435,94848076.0,12096072.0,Rendah,1000,Sedang,4000
kter Hewan (S Parm,-7.4349,109.24387,146112154.0,14592086.0,Sedang,2000,Sedang,4000
Dwi Tunggal,-7.43664,109.24388,110112091.0,9792068.0,Sedang,2000,Sedang,4000
Indomaret Andang,-7.43917,109.24441,241056183.0,15456092.0,Tinggi,3000,Sedang,4000
Lodeh,-7.43076,109.24278,9648198.0,22848136.0,Tinggi,3000,Tinggi,5000
Meubel,-7.44157,109.23704,142176065.0,19104118.0,Sedang,2000,Tinggi,5000
Pasar Burung,-7.43067,109.24313,600055.0,8256038.0,Sedang,2000,Sedang,4000
Pecak Sambel,-7.43595,109.24391,271872216.0,44832284.0,Tinggi,3000,Tinggi,5000
Popular-Finance,-7.43897,109.25025,134976110.0,16704108.0,Sedang,2000,Tinggi,5000
Remaja Listrik,-7.43467,109.2442,127584105.0,0.0,Sedang,2000,Tinggi,5000
Soto Lawas,-7.43039,109.24249,142464116.0,21696097.0,Sedang,2000,Rendah,3000
Mie Eco,-7.42937,109.25128,59904048.0,4608040.0,Rendah,1000,Sedang,4000
Shinta,-7.4297,109.24979,97344078.0,14976136.0,Rendah,1000,Rendah,3000
Wahyuningsari,-7.42961,109.24688,72288033.0,7008046.0,Rendah,1000,Rendah,3000
Lina Bakery,-7.42955,109.24666,92352074.0,2688016.0,Rendah,1000,Rendah,3000
Toko Intisari,-7.428011,109.24288,108432090.0,7392044.0,Sedang,2000,Rendah,3000
Toko Oleh-oleh Pramuka,-7.42923,109.25207,36144030.0,480002.0,Rendah,1000,Sedang,4000
Alfamart Pramuka,-7.4297,109.24924,162432132.0,7728037.0,Sedang,2000,Sedang,4000
Alfamart Pancurawis,-7.42925,109.25367,162336131.0,14784088.0,Sedang,2000,Sedang,4000
Jimmy Salon,-7.4297,109.24219,115008094.0,13344102.0,Sedang,2000,Rendah,3000
Pelangi Baby Shop,-7.42928,109.24467,84336070.0,4992022.0,Rendah,1000,Rendah,3000
Mie Ayam Wanto,-7.42911,109.24458,84336070.0,7104050.0,Rendah,1000,Tinggi,5000
Surya Indah,-7.42899,109.25414,77376062.0,2688016.0,Rendah,1000,Rendah,3000
Alfamart Kr Pucung,-7.44152,109.2381,147264118.0,16128096.0,Sedang,2000,Sedang,4000
Alfamart Tj Elok,-7.4423,109.23215,167232134.0,4236094.0,Sedang,2000,Sedang,4000
Apotek Hutami,-7.44147,109.23745,117312094.0,6912048.0,Sedang,2000,Rendah,3000
Rumah Teknik,-7.43991,109.24436,115104095.0,12096072.0,Sedang,2000,Sedang,4000
Sumber Teknik,-7.44061,109.2401,89376043.0,13248092.0,Rendah,1000,Sedang,4000
Mardani Tani,-7.44073,109.24095,79872064.0,7200110.0,Rendah,1000,Rendah,3000
Area ATM,-7.420413275,109.1984777,788736632.0,59136352.0,Tinggi,3000,Tinggi,5000
Toko Purwoaji,-7.42016803,109.1983852,331968266.0,25248146.0,Tinggi,3000,Tinggi,5000
Inti Boga,-7.420289113,109.1989813,354432284.0,34944208.0,Tinggi,3000,Tinggi,5000
Toko Emas Kencana,-7.420295969,109.1988611,383232320.0,24192144.0,Tinggi,3000,Tinggi,5000
Eka Ria boga,-7.4200385,109.2013457,274560220.0,17472104.0,Tinggi,3000,Tinggi,5000
Morodadi,-7.420736769,109.2015614,397536325.0,32256192.0,Tinggi,3000,Tinggi,5000
Arjuna Emas,-7.42017,109.19886,414336332.0,10080060.0,Tinggi,3000,Sedang,4000
Eka Ria,-7.420307518,109.199948,240672251.0,0.0,Tinggi,3000,Rendah,3000
Gajah Emas,-7.420092123,109.1998408,512064414.0,0.0,Tinggi,3000,Rendah,3000
